han,bs,pinyin,middle_chinese,gloss
埃,qˤə,āi,'oj,dust
哀,ʔˤəj,āi,'oj,to pity; sad
藹,qˤats,ǎi,'ajH,"ample, numerous"
阸,qˤriks,ài,'eaH,a narrow pass
隘,qˤriks,ài,'eaH,a narrow pass
愛,qˤəps,ài,'ojH,to love; to grudge (< ‘draw close to oneself’?)
僾,qˤəps,ài,'ojH,"to pant, lose the breath"
艾,C.ŋˤats,ài,ngajH,Artemisia; moxa
鞌,ʔˤan,ān,'an,[place name]
鞍,ʔˤan,ān,'an,[place name]
安,ʔˤan,ān,'an,peace(ful)
安,ʔˤan,ān,'an,how
安,ʔˤan,ān,'an,"安息 Ānxī (Iranian country in the western regions, W. Hàn; from Aršaka = Arsaces, founder of the Arsacid dynasty)"
晻,qˤomʔ,ǎn,'omX,dark
按,ʔˤans,àn,'anH,repress
案,ʔˤans,àn,'anH,stool; tray
晻,qˤomʔ-s,àn,'omH,dark
暗,qˤums,àn,'omH,dark
黬,kˤrəm,àn,keam,black blot
岸,ŋˤars,àn,nganH,bank of a river
豻,m-ɢˤars,àn,nganH,wild dog
卬,k.ŋˤaŋ,áng,ngang,high; lift high
卬,ŋˤaŋ,áng,ngang,"I, me"
㼜,ʔˤaŋs,àng,'angH,basin; (tublike:) swollen
敖,ŋˤaw,áo,ngaw,tall
囂,ŋˤaw,áo,ngaw,"clamor, many voices; arrogant"
敖,ŋˤaw,áo,ngaw,saunter about
嗸,ŋˤaw,áo,ngaw,distressed cry
熬,ŋˤaw,áo,ngaw,"fry, roast (v.)"
媼,ʔˤuʔ,ǎo,'awX,old woman
奧,ʔˤuks,ào,'awH,southwest corner of a house
澳,ʔˤuks,ào,'awH,"bay, cove"
巴,pˤra,bā,pae,snake
巴,pˤra,bā,pae,[place name]
豝,pˤra,bā,pae,"sow, pig"
八,pˤret,bā,peat,eight
軷,bˤat,bá,bat,sacrifice to the gods of the road
茇,m-pˤat,bá,bat,halt in the open
拔,bˤrot,bá,beat,uproot
茇,pˤat,bá,pat,halt in the open
胈,pˤot,bá,pat,small hairs on body; roots of grass
把,pˤraʔ,bǎ,paeX,grasp (v.)
罷,bˤrajʔ,bà,beaX,"stop, cease"
霸,pˤraks,bà,paeH,have hegemony
白,bˤrak,bái,baek,white
百,pˤrak,bǎi,paek,hundred
柏,pˤrak,bǎi,paek,cypress
敗,N-pˤrats,bài,baejH,suffer defeat
稗,C.bˤres,bài,beaH,weed resembling grain
敗,pˤrats,bài,paejH,defeat (v.t.)
拜,C.pˤrots,bài,peajH,"bow, bend (v.)"
班,pˤran,bān,paen,"divide, distribute"
頒,pˤrən,bān,paen,distribute
朌,pˤrən,bān,paen,distribute
斑,pˤran,bān,paen,variegated
搬,Cə.pˤan,bān,pan,move
板,C.pˤranʔ,bǎn,paenX,"plank, board"
板,pˤranʔ,bǎn,paenX,perverse
阪,panʔ,bǎn,pjonX,"slope, bank"
伴,C.bˤanʔ,bàn,banX,comrade
辦,bˤrens,bàn,beanH,"manage, deal with"
半,pˤans,bàn,panH,half
邦,pˤroŋ,bāng,paewng,country
蚌,bˤroŋʔ,bàng,baewngX,"oyster, mussel"
蜯,bˤroŋʔ,bàng,baewngX,"oyster, mussel"
傍,bˤaŋs,bàng,bangH,beside; assist
榜,pˤraŋs,bàng,paengH,oar
謗,pˤaŋs,bàng,pangH,slander
包,pˤru,bāo,paew,"wrap, bundle"
胞,pˤru,bāo,paew,womb
苞,pˤru,bāo,paew,reed mat for wrapping
褒,pˤu,bāo,paw,praise (v.)
雹,C.bˤruk,báo,baewk,hail
飽,pˤruʔ,bǎo,paewX,be satiated
保,pˤuʔ,bǎo,pawX,protect
寶,pˤuʔ,bǎo,pawX,precious thing
抱,m-pˤuʔ,bào,bawX,carry in the arms
暴,bˤawks,bào,bawH,violent
瀑,bˤawk,bào,buwk,waterfall?
豹,pˤrewks,bào,paewH,leopard
爆,pˤrawks,bào,paewH,explode (not pre-Qín)
報,pˤuks,bào,pawH,repay
悲,prəj,bēi,pij,sad
陂,praj,bēi,pje,river bank; dike
碑,pre,bēi,pje,stele; upright pole of stone or wood
卑,pe,bēi,pjie,"low, humble"
卑,pe,bēi,pjie,鮮卑 *s[a]r.pe Xiānbēi
杯,pˤə,bēi,pwoj,cup
北,pˤək,běi,pok,north
拔,bˤots,bèi,bajH,thinned out (forest)
備,brəks,bèi,bijH,complete (adj.)
被,m-pʰrajʔ,bèi,bjeX,coverlet
被,m-pʰrajʔ-s,bèi,bjeH,cover (v.)
倍,bˤəʔ,bèi,bwojX,double
孛,bˤuts,bèi,bwojH,comet
悖,bˤuts,bèi,bwojH,confused
誖,bˤuts,bèi,bwojH,confused talk
焙,bˤəs,bèi,bwojH,"bake, roast [not in GSR]"
背,m-pˤəks,bèi,bwojH,turn the back on
偝,m-pˤəks,bèi,bwojH,turn the back on
誖,bˤut,bèi,bwot,confused talk
貝,pˤats,bèi,pajH,cowry shell
背,pˤəks,bèi,pwojH,the back
賁,pˤur,bēn,pwon,"ardent, brave"
奔,pˤur,bēn,pwon,run (v.)
本,C.pˤənʔ,běn,pwonX,tree trunk
畚,pˤunʔ,běn,pwonX,basket
祊,pˤraŋ,bēng,paeng,side of the temple gate; sacrifice there
繃,pˤrəŋ,bēng,peang,to bind around
崩,Cə.pˤəŋ,bēng,pong,"collapse (v., of a mountain)"
琫,pˤoŋʔ,běng,puwngX,scabbard ornament
迸,pˤreŋs,bèng,peangH,drive out
堋,pˤəŋs,bèng,pongH,put coffin in grave
偪,prək,bī,pik,"to press, urge"
逼,prək,bī,pik,"urge, press"
鼻,Cə.bits,bí,bjijH,smell (v.t.)
鼻,m-bits,bí,bjijH,nose
鄙,prəʔ,bǐ,pijX,border town
筆,p.rut,bǐ,pit,writing brush
彼,pajʔ,bǐ,pjeX,that
比,C.pijʔ,bǐ,pjijX,compare
匕,pijʔ,bǐ,pjijX,"ladle, spoon"
匕,pijʔ,bǐ,pjijX,spoon
妣,pijʔ,bǐ,pjijX,deceased mother
秕,pijʔ,bǐ,pjijX,chaff; petty
髀,m-pˤeʔ,bì,bejX,femur
辟,bˤek,bì,bek,inner coffin
苾,bˤit,bì,bet,fragrant
邲,brit,bì,bit,[place name]
庳,N-peʔ,bì,bjieX,"low, short"
婢,beʔ,bì,bjieX,female slave or servant
避,beks,bì,bjieH,avoid
敝,bets,bì,bjiejH,destroy; worn out
幣,bets,bì,bjiejH,offering of silk
斃,bets,bì,bjiejH,fall down (from wound or illness)
辟,N-pek,bì,bjiek,"law, rule; lawful"
邲,bit,bì,bjit,[place name]
嬖,pˤeks,bì,pejH,favorite (n.)
閉,pˤits,bì,pejH,close (v.); obstruct
壁,C.pˤek,bì,pek,house wall
毖,prits,bì,pijH,cautious
閟,prits,bì,pijH,"to shut, close"
柲,prit,bì,pit,"shaft, handle (of a weapon)"
碧,prak,bì,pjaek,light blue
賁,pors,bì,pjeH,ornate (name of a hexagram)
髀,peʔ,bì,pjieX,"femur, haunch"
臂,peks,bì,pjieH,arm
蔽,pets,bì,pjiejH,cover (v.)
辟,pek,bì,pjiek,"ruler, prince"
璧,pek,bì,pjiek,circular jade insignium
庇,pij,bì,pjij,cover; protect
畀,pits,bì,pjijH,give
比,pijs,bì,pjijH,combine; all
庇,pijs,bì,pjijH,cover; protect
妣,pijʔ-s,bì,pjijH,deceased mother
必,pit,bì,pjit,necessarily
畢,pit,bì,pjit,wooden fork
畢,pit,bì,pjit,bird-net
畢,pit,bì,pjit,finish (v.)
彃,pit,bì,pjit,shoot
篳,pit,bì,pjit,wattle
蹕,pit,bì,pjit,prohibit
韠,pit,bì,pjit,knee cover
邊,pˤen,biān,pen,side
編,pˤer,biān,pen,"plait, weave"
𠓥,pen,biān,pjien,whip (n.)
鞭,pen,biān,pjien,whip (n.)
籩,pen,biān,pjien,kind of vessel
編,per,biān,pjien,"plait, weave"
扁,pˤerʔ,biǎn,penX,flat and thin
貶,promʔ,biǎn,pjemX,diminish
貶,premʔ,biǎn,pjemX,diminish
窆,proms,biǎn,pjemH,put coffin in grave
釆,bˤrens,biàn,beanH,discriminate
辮,m-pˤerʔ,biàn,benX,"braid (v., n.) (Shuōwén)"
辨,brenʔ,biàn,bjenX,distinguish
辯,brenʔ,biàn,bjenX,"distinguish, dispute (v.)"
弁,C.brons,biàn,bjenH,cap
卞,brons,biàn,bjenH,law
諞,m-pʰerʔ,biàn,bjienX,insincere words
便,bens,biàn,bjienH,comfortable; advantageous
徧,pˤens,biàn,penH,(go) all around
辡,prenʔ,biàn,pjenX,criminals accusing one another (Shuōwén)
變,prons,biàn,pjenH,change (v.)
髟,priw,biāo,pjiw,long hair
表,prawʔ,biǎo,pjewX,exterior
摽,bewʔ,biào,bjiewX,"fall down, strike down"
鱉,pet,biē,pjiet,soft-shelled turtle (Trionychidae?)
別,N-pret,bié,bjet,be separated (intr.)
別,pret,bié,pjet,separate (tr.)
豳,prən,bīn,pin,(place name)
賓,pin,bīn,pjin,guest
瀕,pin,bīn,pjin,"river bank, shore"
冫,p.rəŋ,bīng,ping,ice
冰,p.rəŋ,bīng,ping,ice
兵,praŋ,bīng,pjaeng,weapon
并,peŋ,bīng,pjieng,combine two things
禀,p.rimʔ,bǐng,limX,rations
稟,p.rimʔ,bǐng,pimX,receive
稟,p.rimʔ,bǐng,pimX,rations
禀,p.rimʔ,bǐng,pimX,rations; receive
丙,praŋʔ,bǐng,pjaengX,3d heavenly stem
邴,praŋʔ,bǐng,pjaengX,(place name)
秉,praŋʔ,bǐng,pjaengX,grasp
餅,peŋʔ,bǐng,pjiengX,cake
並,bˤeŋʔ,bìng,bengX,"side by side, together"
病,braŋs,bìng,bjaengH,extreme illness
枋,praŋʔ-s,bìng,pjaengH,handle (n.)
柄,praŋʔ-s,bìng,pjaengH,handle (n.)
棅,praŋʔ-s,bìng,pjaengH,a handle
并,peŋs,bìng,pjiengH,combine two things
波,pˤaj,bō,pa,wave (n.)
番,pˤar,bō,pa,martial
剝,pˤrok,bō,paewk,"flay, peel"
撥,pˤat,bō,pat,spread out
帛,bˤrak,bó,baek,silk
薄,bˤak,bó,bak,thin
泊,bˤak,bó,bak,"calm, still"
孛,bˤut,bó,bwot,comet
艴,bˤut,bó,bwot,annoyed looks
勃,bˤut,bó,bwot,confused
悖,bˤut,bó,bwot,confused
伯,pˤrak,bó,paek,father’s elder brother
駁,pˤrawk,bó,paewk,horse of mixed color
博,pˤak,bó,pak,broad
搏,pˤak,bó,pak,strike
胉,pʰˤak,bó,phak,shoulder blade
搏,praks,bó,pjuH,strike
襮,pˤawk,bó,powk,embroidered collar
跛,pˤajʔ,bǒ,paX,walk lame
簸,pˤajʔ,bǒ,paX,winnow (v.)
簸,pˤajʔ-s,bò,paH,winnow (v.)
播,pˤars,bò,paH,to sow
擘,pˤrek,bò,peak,"cleave, split"
哺,bˤas,bǔ,buH,food held in the mouth
補,Cə.pˤaʔ,bǔ,puX,to patch
卜,pˤok,bǔ,puwk,divine (v.)
簿,bˤaʔ,bù,buX,register (n.)
步,mə.bˤas,bù,buH,step
部,bˤroʔ,bù,buwX,"lead (v.), govern"
不,pə,bù,pjuw,not
不,pə,bù,pjuw,不律 writing brush (pron. in Wú 吳 ap. Shuōwén; E. Hàn)
布,pˤas,bù,puH,cloth
才,dzˤə,cái,dzoj,"talent, ability"
材,dzˤə,cái,dzoj,timber
財,dzˤə,cái,dzoj,wealth
裁,dzˤə,cái,dzoj,cut out clothes
采,s.Cˤrəʔ,cǎi,tshojX,"gather, pluck"
采,s.Cˤrəʔ,cǎi,tshojX,colorful
彩,s.Cˤrəʔ,cǎi,tshojX,colorful
採,s.Cˤrəʔ,cǎi,tshojX,"gather, pluck"
蔡,s.Cˤrats,cài,tshajH,(name of a state)
菜,s.Cˤrəʔ-s,cài,tshojH,vegetables
參,Cˤrəʔ,cān,tshom,accumulate
驂,m-sˤrum,cān,tshom,team of three horses
慚,dzˤam,cán,dzam,ashamed
慙,dzˤam,cán,dzam,ashamed
殘,dzˤan,cán,dzan,damage; hurt; cruel
蠶,C.dzˤəm,cán,dzom,silkworm
粲,tsʰˤars,càn,tshanH,bright and white
倉,s.Cˤraŋ,cāng,tshang,tshang-kaeng 'oriole'
凔,tsʰˤaŋ,cāng,tshang,cold
蒼,tsʰˤaŋ,cāng,tshang,deep blue or green
倉,tsʰˤaŋ,cāng,tshang,granary
藏,m-tsʰˤaŋ,cáng,dzang,store (v.)
操,tsʰˤawʔ,cāo,tshawX,grasp (v.)
操,tsʰˤawʔ-s,cāo,tshawH,(what is grasped:) principles
曹,N-tsˤu,cáo,dzaw,come together; pair
草,tsʰˤuʔ,cǎo,tshawX,"grass, plants"
草,tsʰˤuʔ,cǎo,tshawX,"rough, coarse"
册,tsʰˤrek,cè,tsrheak,"tablet, records"
策,tsʰˤrek,cè,tsrheak,"tablet, record"
栅,tsʰˤrek,cè,tsrheak,hedge
廁,tsʰrəks,cè,tsrhiH,latrine
畟,Nə.tsʰrək,cè,tsrhik,sharp-cutting
測,tsʰrək,cè,tsrhik,fathom (v.)
側,tsrək,cè,tsrik,"slanting, oblique; side"
參,tsʰrum,cēn,tsrhim,參差 tsrhim.tsrhje uneven
層,N-s-tˤəŋ,céng,dzong,"in two storeys, double"
曾,dzˤəŋ,céng,dzong,(adverb indicating past time)
層,m-s-tˤəŋ,céng,dzong,"additional floor, field"
差,tsʰraj,chā,tsrhae,distinction; to select
臿,tsʰrop,chā,tsrheap,pestle
插,mə.tsʰrop,chā,tsrheap,insert
扱,s-qʰrəp,chā,tsrheap,"gather, collect"
秅,dˤra,chá,drae,a certain number of sheaves of grain
荼,lˤra,chá,drae,(name of a plant)
槎,dzˤraj,chá,dzrae,cut trees
槎,dzˤrajʔ,chá,dzraeX,to cut trees
察,tsʰˤret,chá,tsrheat,examine
詫,tʰˤraks,chà,trhaeH,tell
拆,qʰˤrak,chāi,trhaek,"take apart, dismantle"
差,tsʰraj,chāi,tsrhea,distinction; to select
差,tsʰˤraj,chāi,tsrheaj,distinction; to select
祡,C.dzˤrej,chái,dzrea,firewood
儕,dzˤrəj,chái,dzreaj,"category, equals"
豺,dzˤrə,chái,dzreaj,wolf
蠆,mə.Cˤrats,chài,trhaejH,scorpion
幨,tʰam,chān,tsyhem,"cut out, cut loose"
襜,tʰam,chān,tsyhem,"apron; shake, move (skirts)"
廛,dran,chán,drjen,farmyard
躔,dran,chán,drjen,tracks; orbit (v.)
纏,dran,chán,drjen,"bind, wind"
孱,dzran,chán,dzrean,timid
蟬,dar,chán,dzyen,cicada
單,dar,chán,dzyen,單于 chányú: Xiōngnú  ruler (W. Hàn)
產,s-ŋrarʔ,chǎn,sreanX,"bear (v.), produce"
諂,qʰromʔ,chǎn,trhjemX,flatter (v.)
讇,qʰromʔ,chǎn,trhjemX,to flatter
幨,tʰams,chàn,tsyhemH,overcoat
長,Cə.N-traŋ,cháng,drjang,long (adj.)
場,lraŋ,cháng,drjang,arena
腸,lraŋ,cháng,drjang,intestines
嘗,Cə.daŋ,cháng,dzyang,taste (v.)
常,daŋ,cháng,dzyang,constant
裳,daŋ,cháng,dzyang,lower garment
惝,tʰaŋʔ,chǎng,tsyhangX,despondent; scared
敞,tʰaŋʔ,chǎng,tsyhangX,"open, spacious"
鬯,tʰraŋs,chàng,trhjangH,aromatic spirits
悵,tʰraŋs,chàng,trhjangH,disappointed
倡,mə.tʰaŋs,chàng,tsyhangH,to lead (in singing)
唱,mə.tʰaŋs,chàng,tsyhangH,to lead (in singing)
超,tʰraw,chāo,trhjew,"leap over, surpass"
潮,N-traw,cháo,drjew,morning tide
朝,m-traw,cháo,drjew,(morning) audience at court
巢,dzˤraw,cháo,dzraew,nest
炒,tsʰˤrewʔ,chǎo,tsrhaewX,to stir-fry
車,t.qʰrA,chē,tsyhae,chariot
澈,dret,chè,drjet,"clear, limpid"
徹,m-tʰret,chè,drjet,penetrate
撤,m-tʰret,chè,drjet,"remove, take away"
徹,m-tʰret,chè,drjet,divide land acc. to a certain share system
坼,Nə.qʰˤrak,chè,trhaek,split (v.i.)
撤,tʰret,chè,trhjet,"remove, take away"
徹,tʰret,chè,trhjet,divide land acc. to a certain share system
徹,tʰret,chè,trhjet,penetrate
瞋,tʰin,chēn,tsyhin,glare (v.)
沈,C.drəm,chén,drim,sink (v.t.)
沈,drəm,chén,drim,sink (v.i.)
沈,drəm,chén,drim,sacrifice in which gifts are sunk in water
沈,drəms,chén,drimH,sacrifice in which gifts are sunk in water
塵,drən,chén,drin,dust (n.)
陳,lrin,chén,drin,arrange
煁,dəm,chén,dzyim,small furnace
忱,t.ɢum,chén,dzyim,sincere
諶,t.ɢum,chén,dzyim,"reliable, to trust"
辰,dər,chén,dzyin,5th earthly branch
晨,dər,chén,dzyin,early
臣,giŋ,chén,dzyin,"slave, subject"
晨,sə.dər,chén,zyin,part of Scorpio; morning
瞠,tʰˤraŋ,chēng,trhaeng,stare
赬,t.kʰreŋ,chēng,trhjeng,red
䞓,t-kʰreŋ,chēng,trhjeng,red
稱,tʰəŋ,chēng,tsyhing,weigh; evaluate; call
棖,m-tˤraŋ,chéng,draeng,door-posts
𣥺,m-tˤraŋ,chéng,draeng,serve as support for
橙,dˤrəŋ,chéng,dreang,citrus tree (Shuōwén)
澄,drəŋ,chéng,dring,"limpid, clear"
懲,m-trəŋ,chéng,dring,reprove; punish
程,C.lreŋ,chéng,drjeng,Chéng (a surname)
程,lreŋ,chéng,drjeng,"rule, norm"
呈,lreŋ,chéng,drjeng,to manifest
承,m-təŋ,chéng,dzying,receive
丞,m-təŋ,chéng,dzying,assist
成,deŋ,chéng,dzyeng,to become (v.i.)
城,deŋ,chéng,dzyeng,city wall
誠,deŋ,chéng,dzyeng,sincere
盛,deŋ,chéng,dzyeng,put in (a receptacle)
成,m-deŋ,chéng,dzyeng,to complete (tr. v)
乘,Cə.ləŋ,chéng,zying,ride (v.)
塍,m.ləŋ,chéng,zying,raised path between fields
逞,C-lreŋʔ,chěng,trhjengX,to run after; gratify one’s desire
騁,Creŋʔ,chěng,trhjengX,gallop
稱,mə.tʰəŋs,chèng,tsyhingH,steelyard
絺,qʰrəj,chī,trhij,fine cloth
离,Craj,chī,trhje,mountain demon
魑,Craj,chī,trhje,demon
螭,Craj,chī,trhje,demon
鴟,tʰij,chī,tsyhij,鴟鵂 tsyhij.xjuw owl
治,C.lrə,chí,dri,"regulate, arrange"
持,drə,chí,dri,"grasp, hold"
蚳,drij,chí,drij,ant egg
坻,drij,chí,drij,islet
遟,lrəj,chí,drij,slow
遲,lrəj,chí,drij,slow
池,Cə.lraj,chí,drje,pool (n.)
踟,dre,chí,drje,踟躕 *[d]re.[d]ro walk hesitatingly
馳,lraj,chí,drje,gallop
篪,lre,chí,drje,a kind of flute
弛,C-lajʔ,chí,syeX,slacken (a bow)
恥,C-nrəʔ,chǐ,trhiX,shame; ashamed
齒,t-kʰəŋʔ,chǐ,tsyhiX,front teeth
哆,t-C-lAjʔ,chǐ,tsyhaeX,large
哆,t-C-lajʔ,chǐ,tsyheX,large
侈,t-C-lajʔ,chǐ,tsyheX,extravagant
尺,tʰAk,chǐ,tsyhek,foot (measure)
翅,s-kʰes,chì,syeH,wing
勅,m-Crək,chì,trhik,correct (v.); to arrange
熾,tʰəks,chì,tsyhiH,blaze
赤,t-qʰrAk,chì,tsyhek,red
㡿,t-qʰAk,chì,tsyhek,salty soil
斥,tʰAk,chì,tsyhek,rebuff; salty soil
厈,tʰAk,chì,tsyhek,rebuff; salty soil
沖,druŋ,chōng,drjuwng,sound of cutting ice
舂,s-toŋ,chōng,syowng,"hull grain, beat (v.) stick for beating (n.)"
憃,s.toŋ,chōng,syowng,stupid
憃,qʰˤroŋ,chōng,trhaewng,stupid
忡,tʰruŋ,chōng,trhjuwng,"grieved, agitated"
衝,tʰoŋ,chōng,tsyhowng,rush against
充,tʰuŋ,chōng,tsyhuwng,"full, fill"
重,m-troŋ,chóng,drjowng,repeat; double
蟲,C.lruŋ,chóng,drjuwng,insect
崇,dzruŋ,chóng,dzrjuwng,"exalt, honor"
寵,Croŋʔ,chǒng,trhjowngX,"favor, grace"
抽,C-lru,chōu,trhjuw,"take out, pull out"
瘳,Criw,chōu,trhjuw,recover
稠,driw,chóu,drjuw,"dense, thick"
綢,driw,chóu,drjuw,bind round
𠃬,dru,chóu,drjuw,plowed field
𢏚,dru,chóu,drjuw,plowed field
疇,dru,chóu,drjuw,"in the past, yesterday"
疇,dru,chóu,drjuw,plowed field
愁,dzriw,chóu,dzrjuw,grieved
讎,du,chóu,dzyuw,pay back; enemy
丑,C-nruʔ,chǒu,trhjuwX,2d earthly branch
杻,C-nruʔ,chǒu,trhjuwX,"shackles, handcuffs"
杽,C-nruʔ,chǒu,trhjuwX,"shackles, handcuffs"
醜,t.qʰuʔ,chǒu,tsyhuwX,ugly; evil
醜,t.qʰuʔ,chǒu,tsyhuwX,category
臭,t-qʰuʔ-s,chòu,tsyhuwH,"odor, to stink (intransitive)?"
臭,qʰuʔ-s,chòu,xjuwH,"odor, to stink (intransitive)?"
初,tsʰra,chū,tsrhjo,beginning
出,t-kʰut,chū,tsyhwit,go or come out
除,lra,chú,drjo,remove; get rid of
廚,dro,chú,drju,kitchen
躕,dro,chú,drju,踟躕 drje.drjo walk hesitatingly
鉏,s-lra,chú,dzrjo,hoe (n.)
鋤,s-lra,chú,dzrjo,hoe (n.)
鋤,s-lra,chú,dzrjo,to hoe
芻,tsʰro,chú,tsrhju,grass for fuel or fodder
楚,s.Craʔ,chǔ,tsrhjoX,arrange in order
楚,s.Craʔ,chǔ,tsrhjoX,thorns
楚,s.Craʔ,chǔ,tsrhjoX,name of a state
處,t.qʰaʔ,chǔ,tsyhoX,be at
杵,t.qʰaʔ,chǔ,tsyhoX,pestle
豖,tʰrok,chù,trhjowk,hobbled pig (Shuōwén)
畜,qʰruks,chù,trhjuwH,domesticated animals
畜,qʰruk,chù,trhjuwk,store (v.)
稸,qʰruk,chù,trhjuwk,store; harbor (feelings)
滀,qʰruk,chù,trhjuwk,accumulated (feelings)
黜,t.kʰrut,chù,trhwit,expel
處,t.qʰaʔ-s,chù,tsyhoH,place (n.)
觸,tʰok,chù,tsyhowk,knock against
俶,tʰuk,chù,tsyhuwk,commence
揣,s-tʰrorʔ,chuǎi,tsrhjweX,to measure; to estimate
嘬,tsʰˤrots,chuài,tsrhwaejH,"bite, eat"
嘬,tsʰˤrots,chuài,tsrhweajH,"bite, eat"
巛,t.C-lun,chuān,tsyhwen,"stream, river"
川,t.C-lun,chuān,tsyhwen,"stream, river"
穿,tʰon,chuān,tsyhwen,bore through
椽,lron,chuán,drjwen,"beam, rafter"
傳,m-tron,chuán,drjwen,transmit
輲,dor,chuán,dzywen,car with solid wheels
船,Cə.lon,chuán,zywen,boat
舛,tʰonʔ,chuǎn,tsyhwenX,"oppose, contrary"
喘,tʰorʔ,chuǎn,tsyhwenX,to pant
窻,s-C-lˤroŋ,chuāng,tsrhaewng,window
窗,s-C-lˤroŋ,chuāng,tsrhaewng,window
䆫,s-C-lˤroŋ,chuāng,tsrhaewng,window
創,tsʰraŋ,chuāng,tsrhjang,wound (v.)
瘡,tsʰraŋ,chuāng,tsrhjang,"boil, tumor"
撞,N-tˤroŋ,chuáng,draewng,strike
幢,dˤroŋ,chuáng,draewng,a kind of flag
牀,k.dzraŋ,chuáng,dzrjang,bed
創,tsʰraŋs,chuàng,tsrhjangH,begin
吹,tʰor,chuī,tsyhwe,blow (v.)
錘,m-troj,chuí,drjwe,sledge-hammer
椎,k.druj,chuí,drwij,hammer
垂,doj,chuí,dzywe,hang down
捶,tojʔ,chuí,tsyweX,to beat
吹,tʰors,chuì,tsyhweH,musical concert
出,t-kʰuts,chuì,tsyhwijH,bring or take out
䡅,C-lrun,chūn,trhwin,ornate band on axle-cap of wheel (K)
輴,C-lrun,chūn,trhwin,funeral car
春,tʰun,chūn,tsyhwin,springtime
純,dun,chún,dzywin,"pure, unmixed"
純,dun,chún,dzywin,silken
淳,dur,chún,dzywin,a pair
淳,dur,chún,dzywin,"simple, unadorned"
淳,dur,chún,dzywin,ample
鶉,dur,chún,dzywin,quail
脣,sə.dur,chún,zywin,lip
漘,sə.dur,chún,zywin,borders of a river
躇,tʰrak,chuò,trhjak,"jump over, pass over"
綴,trot,chuò,trjwet,stitch
輟,trot,chuò,trjwet,"stop, cease"
錣,tˤrot,chuò,trwaet,iron point at end of whip
綽,tʰawk,chuò,tsyhak,"indulgent, gentle"
啜,tʰot,chuò,tsyhwet,"taste, eat, drink (v.)"
歠,tʰot,chuò,tsyhwet,"taste, eat, drink (v.)"
差,tsʰraj,cī,tsrhje,參差 uneven
慈,N-tsə,cí,dzi,"loving, kind"
餈,dzij,cí,dzij,rice or millet cake
辭,sə.lə,cí,zi,words
祠,sə.lə,cí,zi,sacrifice
詞,sə.lə,cí,zi,utterance
此,tsʰejʔ,cǐ,tshjeX,this
泚,tsʰejʔ,cǐ,tshjeX,clear (adj.)
賜,s-leks,cì,sjeH,give
次,s-C-nijs,cì,tshijH,lodge (v.)
次,s-C-nijs,cì,tshijH,put in order; second
朿,tsʰeks,cì,tshjeH,"sharp point, thorn"
刺,tsʰeks,cì,tshjeH,"sharp point, thorn"
刺,tsʰek,cì,tshjek,"pierce, stab"
蔥,tsʰˤoŋ,cōng,tshuwng,onion
聰,s-C-lˤoŋ,cōng,tshuwng,hear well; intelligent
從,dzoŋ,cóng,dzjowng,to follow
叢,dzˤoŋ,cóng,dzuwng,collect; thicket
取,tsʰˤoʔ,cǒu,tshuwX,take
粗,Nəs.Cˤra,cū,tshu,"coarse, thick (as hair)"
徂,dzˤa,cú,dzu,"advance, go to"
趣,tsʰok,cù,tshjowk,"urge, hasten, press"
竄,tsʰˤons,cuàn,tshwanH,hide; flee
崔,dzˤuj,cuī,dzwoj,"high, rocky"
衰,s.C-rˤruj,cuī,tshwoj,mourning clothes
催,s-tʰˤuj,cuī,tshwoj,"urge, repress"
縗,s.Cˤruj,cuī,tshwoj,mourning clothes
衰,tsʰroj,cuī,tsrhjwe,reduce
萃,dzups,cuì,dzwijH,"collect, crowd"
脃,tsʰots,cuì,tshjwejH,brittle
脆,tsʰots,cuì,tshjwejH,brittle
毳,tsʰops,cuì,tshjwejH,fine hair; felt
䄟,tsʰops,cuì,tshjwejH,sacrifice repeatedly (no pre-Qín exx.)
膬,tsʰot,cuì,tshjwet,"brittle, fragile"
倅,tsʰˤuts,cuì,tshwojH,assistant
啐,tsʰˤuts,cuì,tshwojH,taste (v.)
淬,tsʰˤuts,cuì,tshwojH,dip into a fluid
焠,tsʰˤuts,cuì,tshwojH,burn
㯔,tsʰrops,cuì,tsrhjwejH,to pound with a pestle
毳,tsʰrops,cuì,tsrhjwejH,"down, fine hair"
存,dzˤən,cún,dzwon,exist
刌,tsʰˤunʔ,cǔn,tshwonX,"cut, chop"
忖,tsʰˤunʔ,cǔn,tshwonX,"measure, consider"
寸,tsʰˤuns,cùn,tshwonH,thumb; inch
差,tsʰˤaj,cuō,tsha,"rub, polish, file (v.)"
磋,tsʰˤaj,cuō,tsha,"file, polish (v.)"
撮,tsʰˤot,cuō,tshwat,pinch; a pinch
鹺,N-tsˤaj,cuó,dza,salt
瑳,tsʰˤarʔ,cuǒ,tshaX,white and brilliant
脞,tsʰˤojʔ,cuǒ,tshwaX,"frivolous, trifling"
錯,tsʰˤak,cuò,tshak,slanting
措,tsʰˤaks,cuò,tshuH,place (v.)
剉,tsʰˤojs,cuò,tshwaH,cut
達,lˤat,dá,dat,arrive at
怛,tˤat,dá,tat,grieved
答,tˤup,dá,top,answer
荅,tˤəp,dá,top,small bean
大,lˤats,dà,daH,big
大,lˤats,dà,dajH,big
汰,lˤats,dài,dajH,wave
